year,egp_per_usd,source_url,notes
2022,24.5,https://english.ahram.org.eg/News/519335.aspx,post-Nov-2022 devaluation level
2023,30.9,https://english.ahram.org.eg/News/519335.aspx,year-end 2023 rate
2024,50.8,https://english.ahram.org.eg/News/519335.aspx,year-end 2024 rate after March 2024 flotation
2025,48.5,https://tradingeconomics.com/egypt/currency,approx average through 2025 (between 50.8 end-2024 and 49.95 mid-2026)
2026,49.95,https://tradingeconomics.com/egypt/currency,rate as of 2026-07-13
